From Date,PM2.5,PM10,NO2,SO2,CO,Ozone,NH3
2023-12-19 00:00:00,171.0,288.0,52.5,,2.55,1.0,48.4
2023-12-19 00:30:00,159.5,249.5,43.4,0.7,2.35,1.6,46.05
2023-12-19 01:00:00,148.0,211.0,29.75,0.6,2.2,3.0999999999999996,45.0
2023-12-19 01:30:00,140.5,210.5,24.35,0.1,2.1,4.6,48.5
2023-12-19 02:00:00,133.0,210.0,24.275,0.4,2.1500000000000004,5.1,51.7
2023-12-19 02:30:00,137.5,205.0,24.2,0.7,2.2,5.85,54.9
2023-12-19 03:00:00,142.0,200.0,26.1,0.4,2.1,5.45,45.05
2023-12-19 03:30:00,147.0,209.0,24.05,0.3,2.05,4.3,49.2
2023-12-19 04:00:00,152.0,218.0,23.9,1.0,2.05,5.05,49.15
2023-12-19 04:30:00,160.5,256.5,31.6,1.75,2.05,3.25,52.0
2023-12-19 05:00:00,169.0,295.0,43.05,1.45,2.3,1.5,53.05
2023-12-19 05:30:00,167.0,294.0,47.95,1.85,2.3,0.85,52.15
2023-12-19 06:00:00,165.0,293.0,48.4,1.65,2.5,0.55,47.5
2023-12-19 06:30:00,158.0,304.5,60.25,2.35,2.7,0.4,51.35
2023-12-19 07:00:00,151.0,316.0,50.05,2.15,2.8,0.525,48.15
2023-12-19 07:30:00,157.0,322.0,54.85,1.5,2.75,0.65,54.1
2023-12-19 08:00:00,163.0,328.0,49.45,1.2,3.05,0.35,52.3
2023-12-19 08:30:00,165.5,386.0,56.3,2.6,3.15,0.65,39.9
2023-12-19 09:00:00,168.0,444.0,43.55,2.95,2.7,1.3,38.9
2023-12-19 09:30:00,169.0,396.5,52.95,3.55,2.7,1.95,33.65
2023-12-19 10:00:00,170.0,349.0,48.6,4.2,2.7,3.55,36.25
2023-12-19 10:30:00,162.0,336.0,55.15,4.35,2.7,3.4,40.6
2023-12-19 11:00:00,154.0,323.0,50.3,4.3,2.45,4.85,36.2
2023-12-19 11:30:00,142.0,333.0,41.65,3.0,2.35,8.7,39.5
2023-12-19 12:00:00,130.0,343.0,32.9,4.15,2.15,9.05,49.5
2023-12-19 12:30:00,124.5,343.5,29.15,4.35,2.05,12.45,53.45
2023-12-19 13:00:00,119.0,344.0,31.9,3.55,1.95,12.45,48.4
2023-12-19 13:30:00,98.5,328.5,28.9,3.35,1.95,12.65,46.5
2023-12-19 14:00:00,78.0,313.0,39.4,2.35,1.95,9.3,43.8
2023-12-19 14:30:00,70.0,266.0,33.95,1.0,2.0,10.75,38.4
2023-12-19 15:00:00,62.0,219.0,42.35,2.05,2.1,11.05,41.0
2023-12-19 15:30:00,61.0,209.0,43.65,2.55,2.2,8.6,33.75
2023-12-19 16:00:00,60.0,199.0,49.0,2.5,2.2,8.8,29.9
2023-12-19 16:30:00,60.5,197.0,53.05,2.7,2.25,6.35,27.4
2023-12-19 17:00:00,61.0,195.0,69.7,3.2,2.6,1.45,23.3
2023-12-19 17:30:00,76.5,258.5,87.05,4.45,3.15,0.2,20.35
2023-12-19 18:00:00,92.0,322.0,82.25,4.35,3.2,1.5,21.9
2023-12-19 18:30:00,122.5,383.0,88.75,4.0,3.75,0.7,20.0
2023-12-19 19:00:00,153.0,444.0,83.8,3.7,3.9,0.95,20.0
2023-12-19 19:30:00,152.0,438.5,76.95,2.8,3.95,0.4,22.3
2023-12-19 20:00:00,151.0,433.0,84.35,4.65,4.6,0.6,29.7
2023-12-19 20:30:00,188.5,498.0,92.5,5.1,4.65,0.6,24.75
2023-12-19 21:00:00,226.0,563.0,81.0,5.05,4.4,1.0,31.45
2023-12-19 21:30:00,206.5,517.5,81.25,4.05,4.1,0.925,26.05
2023-12-19 22:00:00,187.0,472.0,78.85,4.65,3.85,0.85,41.5
2023-12-19 22:30:00,202.0,490.0,87.0,3.9,4.1,0.5,55.15
2023-12-19 23:00:00,217.0,508.0,74.95,3.55,3.65,0.5,51.95
2023-12-19 23:30:00,195.5,446.5,69.15,2.8,2.9,0.4,46.25
